rate,Share
-62.52906494301949,0.0001
-58.56988007186344,0.0001
-54.61069520070738,0.0001
-50.65151032955133,0.0002
-46.69232545839528,0.0004
-42.73314058723923,0.002
-38.77395571608318,0.0046
-34.814770844927125,0.0069
-30.85558597377107,0.0129
-26.896401102615016,0.0154
-22.93721623145896,0.0217
-18.978031360302907,0.0306
-15.018846489146853,0.0433
-11.059661617990802,0.0537
-7.100476746834751,0.0613
-3.1412918756786965,0.0615
0.8178929954773544,0.0688
4.777077866633405,0.0767
8.73626273778946,0.073
12.695447608945514,0.0659
16.65463248010157,0.0628
20.613817351257623,0.0613
24.573002222413677,0.0503
28.532187093569732,0.0441
32.491371964725786,0.0377
36.45055683588184,0.0327
40.40974170703789,0.0262
44.368926578193935,0.022
48.32811144934999,0.0156
52.287296320506044,0.0131
56.2464811916621,0.0084
60.20566606281815,0.0071
64.16485093397421,0.0059
68.12403580513025,0.0044
72.0832206762863,0.0029
76.04240554744236,0.0017
80.00159041859841,0.0016
83.96077528975447,0.0005
87.91996016091052,0.001
91.87914503206657,0.0005
95.83832990322263,0.0001
99.79751477437868,0.0001
103.75669964553474,0.0001
107.71588451669079,0.0003
115.6342542590029,0.0002
127.51180887247106,0.0001
131.4709937436271,0.0001
