rate,Share
-60.756134967232256,0.0001
-57.567241837045884,0.0001
-51.18945557667313,0.0002
-48.00056244648676,0.0001
-44.81166931630039,0.0014
-41.62277618611402,0.0018
-38.433883055927645,0.0026
-35.24498992574127,0.0057
-32.05609679555489,0.0072
-28.86720366536852,0.0134
-25.67831053518215,0.0141
-22.489417404995777,0.0206
-19.3005242748094,0.0257
-16.111631144623026,0.0317
-12.922738014436653,0.0359
-9.733844884250281,0.0428
-6.544951754063909,0.0495
-3.3560586238775336,0.0522
-0.16716549369115796,0.055
3.021727636495214,0.0605
6.210620766681586,0.0572
9.399513896867958,0.0561
12.58840702705433,0.0574
15.777300157240703,0.0543
18.966193287427075,0.0496
22.155086417613454,0.0435
25.343979547799833,0.0412
28.532872677986205,0.0359
31.721765808172577,0.0306
34.91065893835895,0.0274
38.09955206854532,0.0246
41.288445198731694,0.0201
44.477338328918066,0.016
47.66623145910444,0.0145
50.85512458929081,0.0122
54.04401771947718,0.0082
57.23291084966356,0.0089
60.42180397984994,0.0054
63.61069711003631,0.0041
66.79959024022268,0.0024
69.98848337040906,0.003
73.17737650059544,0.0017
76.36626963078182,0.0013
79.55516276096819,0.0013
82.74405589115456,0.0006
85.93294902134093,0.0007
89.1218421515273,0.0003
92.31073528171368,0.0005
95.49962841190005,0.0004
