rate,Share
-51.161946055312484,0.0004
-47.72470906773893,0.0005
-44.28747208016536,0.0004
-40.8502350925918,0.0024
-37.41299810501825,0.0022
-33.97576111744469,0.0051
-30.538524129871128,0.0084
-27.101287142297565,0.0134
-23.66405015472401,0.0192
-20.226813167150446,0.0264
-16.789576179576887,0.0331
-13.352339192003328,0.0389
-9.915102204429772,0.0473
-6.4778652168562125,0.0559
-3.0406282292826496,0.0655
0.3966087582909097,0.0689
3.8338457458644655,0.0793
7.271082733438025,0.0735
10.708319721011588,0.071
14.145556708585147,0.0662
17.582793696158703,0.0584
21.020030683732266,0.0533
24.45726767130583,0.041
27.894504658879384,0.0376
31.33174164645294,0.0297
34.768978634026496,0.0224
38.20621562160006,0.0195
41.64345260917362,0.015
45.08068959674718,0.0103
48.51792658432074,0.0077
51.9551635718943,0.007
55.39240055946786,0.0051
58.829637547041415,0.004
62.26687453461497,0.0026
65.70411152218853,0.0019
69.1413485097621,0.0015
72.57858549733565,0.0013
76.01582248490922,0.0004
79.45305947248278,0.001
82.89029646005633,0.0007
86.32753344762989,0.0003
89.76477043520345,0.0003
93.202007422777,0.0002
96.63924441035057,0.0001
103.5137183854977,0.0001
106.95095537307125,0.0002
110.38819236064481,0.0001
113.82542934821836,0.0002
117.26266633579192,0.0001
