rate,Share
-51.91940245755348,0.0004
-48.4986630920461,0.0006
-45.077923726538714,0.0013
-41.65718436103133,0.0017
-38.23644499552394,0.0036
-34.81570563001656,0.0055
-31.394966264509172,0.007
-27.974226899001792,0.0102
-24.553487533494405,0.0158
-21.132748167987025,0.0226
-17.712008802479637,0.0285
-14.29126943697225,0.0342
-10.870530071464866,0.0398
-7.449790705957483,0.0455
-4.029051340450099,0.0524
-0.6083119749427155,0.053
2.8124273905646717,0.0548
6.233166756072055,0.0628
9.653906121579436,0.0624
13.07464548708682,0.0636
16.495384852594206,0.0545
19.916124218101594,0.0558
23.33686358360898,0.0448
26.757602949116368,0.0416
30.178342314623748,0.0402
33.59908168013113,0.0372
37.019821045638515,0.029
40.4405604111459,0.0256
43.86129977665329,0.0207
47.28203914216067,0.0193
50.70277850766805,0.0156
54.12351787317544,0.0097
57.544257238682825,0.0102
60.96499660419021,0.0065
64.38573596969759,0.0057
67.80647533520498,0.0044
71.22721470071237,0.0029
74.64795406621974,0.0022
78.06869343172711,0.0023
81.4894327972345,0.0012
84.91017216274189,0.0019
88.33091152824927,0.0007
91.75165089375666,0.0003
95.17239025926405,0.0002
98.59312962477144,0.0003
102.01386899027882,0.0004
105.43460835578621,0.0003
108.8553477212936,0.0004
115.69682645230836,0.0004
