rate,Share
343.5285530780336,0.8753
1230.3665753638493,0.0669
2117.2045976496647,0.0221
3004.0426199354806,0.0121
3890.8806422212965,0.007
4777.718664507112,0.0035
5664.556686792927,0.0033
6551.394709078743,0.0017
7438.232731364559,0.0008
8325.070753650376,0.0009
9211.90877593619,0.0004
10098.746798222006,0.0006
10985.584820507822,0.0009
11872.422842793636,0.0007
12759.260865079454,0.0005
13646.098887365268,0.0002
14532.936909651085,0.0002
15419.7749319369,0.0002
16306.612954222715,0.0001
17193.45097650853,0.0002
18080.28899879435,0.0003
18967.127021080163,0.0002
19853.965043365977,0.0005
24288.15515479506,0.0002
25174.993177080873,0.0002
26948.669221652504,0.0001
27835.507243938322,0.0003
29609.18328850995,0.0001
34043.373399939024,0.0001
38477.563511368106,0.0001
42911.75362279719,0.0002
43798.591645083,0.0001
