rate,Share
761.0271042587665,0.9358
2482.9432717223312,0.0393
4204.859439185896,0.0111
5926.77560664946,0.0046
7648.6917741130255,0.0024
9370.607941576589,0.0024
11092.524109040154,0.0008
12814.44027650372,0.0008
14536.356443967285,0.0002
16258.27261143085,0.0004
17980.188778894415,0.0005
19702.10494635798,0.0002
23145.937281285107,0.0001
26589.769616212237,0.0001
28311.685783675806,0.0001
30033.601951139368,0.0001
31755.518118602937,0.0002
33477.4342860665,0.0002
35199.35045353006,0.0001
38643.1827884572,0.0001
52418.51212816571,0.0001
55862.34446309284,0.0001
57584.260630556404,0.0001
66193.84146787423,0.0001
85134.91930997343,0.0001
