rate,Share
-57.89285164838938,0.0002
-54.074633512712275,0.0002
-50.25641537703517,0.0009
-46.438197241358054,0.0005
-42.61997910568094,0.0018
-38.80176097000384,0.0033
-34.98354283432673,0.0065
-31.165324698649616,0.0109
-27.34710656297251,0.0149
-23.5288884272954,0.0244
-19.71067029161829,0.0347
-15.892452155941182,0.0414
-12.074234020264072,0.0518
-8.256015884586962,0.0597
-4.437797748909851,0.0648
-0.6195796132327409,0.0687
3.1986385224443694,0.0729
7.016856658121476,0.0679
10.835074793798583,0.0693
14.653292929475697,0.0607
18.471511065152804,0.0607
22.28972920082991,0.0516
26.107947336507024,0.0476
29.92616547218413,0.0334
33.74438360786124,0.0294
37.56260174353835,0.0252
41.380819879215466,0.0215
45.19903801489257,0.0161
49.01725615056968,0.0128
52.83547428624679,0.0099
56.6536924219239,0.0088
60.47191055760101,0.0068
64.29012869327812,0.0053
68.10834682895523,0.0041
71.92656496463235,0.0026
75.74478310030945,0.0021
79.56300123598655,0.0016
83.38121937166366,0.0014
87.19943750734078,0.0008
91.01765564301789,0.0005
94.835873778695,0.0005
98.6540919143721,0.0005
102.4723100500492,0.0003
106.29052818572632,0.0002
110.10874632140343,0.0003
113.92696445708054,0.0001
117.74518259275766,0.0002
121.56340072843476,0.0001
129.19983699978897,0.0001
