rate,Share
-52.85584066665696,0.0003
-49.1920218663803,0.0005
-45.52820306610364,0.0008
-41.86438426582698,0.0014
-38.20056546555031,0.0031
-34.536746665273654,0.0056
-30.872927864996992,0.0094
-27.20910906472033,0.0119
-23.545290264443665,0.0185
-19.881471464167003,0.0278
-16.21765266389034,0.0381
-12.55383386361368,0.0459
-8.890015063337017,0.0542
-5.226196263060356,0.0635
-1.5623774627836937,0.072
2.101441337492968,0.0805
5.7652601377696335,0.0828
9.429078938046295,0.0771
13.092897738322954,0.0715
16.75671653859962,0.0644
20.420535338876284,0.0561
24.084354139152943,0.0463
27.7481729394296,0.0381
31.411991739706266,0.0312
35.07581053998293,0.0245
38.73962934025959,0.0191
42.403448140536256,0.0131
46.06726694081292,0.0095
49.73108574108958,0.0081
53.39490454136624,0.0065
57.0587233416429,0.0037
60.72254214191957,0.0024
64.38636094219623,0.0033
68.05017974247289,0.0015
71.71399854274955,0.0016
75.37781734302621,0.0014
79.04163614330287,0.0009
82.70545494357953,0.0004
86.36927374385618,0.0004
90.03309254413286,0.0006
93.69691134440953,0.0005
97.36073014468619,0.0003
101.02454894496285,0.0003
104.6883677452395,0.0002
108.35218654551616,0.0001
112.01600534579282,0.0002
123.00746174662282,0.0001
126.67128054689948,0.0003
