rate,Share
-61.52109576268839,0.0131
-37.249635109814804,0.1219
-12.978174456941225,0.2573
11.293286195932353,0.2525
35.564746848805925,0.1564
59.83620750167951,0.0829
84.1076681545531,0.0453
108.37912880742667,0.0233
132.65058946030024,0.0134
156.9220501131738,0.0094
181.1935107660474,0.0062
205.464971418921,0.006
229.73643207179458,0.0025
254.00789272466815,0.0024
278.2793533775417,0.0018
302.55081403041527,0.0016
326.8222746832889,0.0008
351.09373533616247,0.0009
375.365195989036,0.0005
399.6366566419096,0.0005
423.9081172947832,0.0002
448.17957794765675,0.0001
472.45103860053035,0.0003
496.72249925340395,0.0001
593.8083418648982,0.0002
618.0798025177719,0.0001
666.622723823519,0.0001
812.2514877407605,0.0001
1127.780476228117,0.0001
