rate,Share
3783.4599347914286,0.9735
11550.371515782106,0.0129
19317.283096772786,0.0046
27084.194677763466,0.0021
34851.10625875414,0.0015
42618.01783974482,0.0008
50384.9294207355,0.001
58151.84100172618,0.0005
65918.75258271686,0.0004
73685.66416370754,0.0003
89219.4873256889,0.0004
96986.39890667958,0.0003
104753.31048767026,0.0001
112520.22206866094,0.0002
120287.13364965162,0.0004
143587.8683926236,0.0001
151354.77997361432,0.0001
174655.51471658633,0.0001
190189.3378785677,0.0002
236790.80736451177,0.0001
260091.54210748384,0.0001
314459.9231744186,0.0001
353294.481079372,0.0001
384362.1274033347,0.0001
