rate,Share
-49.01962647294063,0.0007
-45.05117980383551,0.0011
-41.08273313473038,0.0021
-37.114286465625256,0.0046
-33.145839796520136,0.011
-29.17739312741501,0.0124
-25.20894645830988,0.0252
-21.24049978920476,0.0309
-17.27205312009963,0.0429
-13.303606450994504,0.0497
-9.33515978188938,0.0554
-5.366713112784257,0.071
-1.3982664436791303,0.0671
2.570180225425993,0.0745
6.538626894531117,0.065
10.507073563636244,0.0666
14.475520232741367,0.0673
18.443966901846494,0.0567
22.41241357095162,0.0512
26.380860240056748,0.0453
30.349306909161875,0.0405
34.317753578266995,0.034
38.28620024737212,0.0281
42.25464691647725,0.0211
46.22309358558237,0.0185
50.191540254687496,0.0133
54.15998692379262,0.0112
58.12843359289774,0.0092
62.09688026200287,0.0057
66.06532693110799,0.0043
70.03377360021312,0.0032
74.00222026931826,0.0029
77.97066693842338,0.0013
81.9391136075285,0.0016
85.90756027663362,0.0012
89.87600694573875,0.0014
93.84445361484387,0.0007
101.78134695305413,0.0004
105.74979362215926,0.0001
109.71824029126438,0.0003
113.6866869603695,0.0001
117.65513362947463,0.0001
145.4342603132105,0.0001
