rate,Share
-59.627786266984714,0.0229
-32.772388065885394,0.1732
-5.916989864786075,0.2889
20.938408336313245,0.2457
47.793806537412564,0.1285
74.64920473851188,0.0621
101.5046029396112,0.03
128.36000114071052,0.0176
155.21539934180984,0.0094
182.07079754290916,0.0063
208.92619574400848,0.0036
235.7815939451078,0.0036
262.6369921462071,0.0016
289.4923903473064,0.0007
316.34778854840573,0.0013
343.20318674950505,0.0011
370.05858495060437,0.001
396.9139831517037,0.0007
423.769381352803,0.0007
450.62477955390233,0.0002
477.48017775500165,0.0004
558.0463723582995,0.0001
611.7571687604982,0.0001
638.6125669615976,0.0001
692.3233633637963,0.0001
1256.2867255868819,0.0001
