Date,Value
1999-01-22,5186596
1999-01-25,974288
1999-01-26,655131
1999-01-27,466929
1999-01-28,434642
1999-01-29,466033
1999-02-01,295541
1999-02-02,503673
1999-02-03,143733
1999-02-04,347810
1999-02-05,260939
1999-02-08,294015
1999-02-09,166060
1999-02-10,282727
1999-02-11,252402
1999-02-12,209681
1999-02-16,402925
1999-02-17,129512
1999-02-18,135215
1999-02-19,144007
1999-02-22,391926
1999-02-23,263542
1999-02-24,1170861
1999-02-25,284754
1999-02-26,329699
1999-03-01,175913
1999-03-02,105624
1999-03-03,117204
1999-03-04,109578
1999-03-05,150269
1999-03-08,144792
1999-03-09,273306
1999-03-10,449080
1999-03-11,103555
1999-03-12,173286
1999-03-15,208000
1999-03-16,151238
1999-03-17,98063
1999-03-18,88532
1999-03-19,201096
1999-03-22,70011
1999-03-23,312883
1999-03-24,116233
1999-03-25,77087
1999-03-26,168716
1999-03-29,126077
1999-03-30,132660
1999-03-31,293091
1999-04-01,58203
1999-04-05,188623
1999-04-06,133145
1999-04-07,170482
1999-04-08,248280
1999-04-09,92849
1999-04-12,63527
1999-04-13,69033
1999-04-14,92227
1999-04-15,68553
1999-04-16,74440
1999-04-19,59767
1999-04-20,129371
1999-04-21,71666
1999-04-22,433806
1999-04-23,240321
1999-04-26,236173
1999-04-27,433348
1999-04-28,229517
1999-04-29,92008
1999-04-30,190021
1999-05-03,64610
1999-05-04,183517
1999-05-05,275964
1999-05-06,67957
1999-05-07,47740
1999-05-10,37569
1999-05-11,327983
1999-05-12,321750
1999-05-13,133558
1999-05-14,54398
1999-05-17,68244
1999-05-18,289232
1999-05-19,862076
1999-05-20,340437
1999-05-21,580501
1999-05-24,310007
1999-05-25,248512
1999-05-26,200325
1999-05-27,157107
1999-05-28,169373
1999-06-01,188048
1999-06-02,248246
1999-06-03,79240
1999-06-04,150758
1999-06-07,238582
1999-06-08,292964
1999-06-09,181907
1999-06-10,68908
1999-06-11,116580
1999-06-14,98785
1999-06-15,94287
1999-06-16,122971
1999-06-17,143312
1999-06-18,303546
1999-06-21,159146
1999-06-22,368019
1999-06-23,402121
1999-06-24,219858
1999-06-25,140326
1999-06-28,208555
1999-06-29,176744
1999-06-30,513748
1999-07-01,169929
1999-07-02,429169
1999-07-06,377674
1999-07-07,120445
1999-07-08,355736
1999-07-09,404175
1999-07-12,766779
1999-07-13,265270
1999-07-14,263208
1999-07-15,261921
1999-07-16,198406
1999-07-19,83248
1999-07-20,341331
1999-07-21,213973
1999-07-22,407001
1999-07-23,153163
1999-07-26,117320
1999-07-27,188514
1999-07-28,467014
1999-07-29,742177
1999-07-30,862558
1999-08-02,598786
1999-08-03,486640
1999-08-04,171519
1999-08-05,458786
1999-08-06,350863
1999-08-09,59225
1999-08-10,405587
1999-08-11,377989
1999-08-12,457426
1999-08-13,161653
1999-08-16,427092
1999-08-17,370006
1999-08-18,534299
1999-08-19,3757011
1999-08-20,673862
1999-08-23,969773
1999-08-24,760389
1999-08-25,668257
1999-08-26,525612
1999-08-27,1056228
1999-08-30,303239
1999-08-31,1502225
1999-09-01,1079737
1999-09-02,651383
1999-09-03,494681
1999-09-07,237424
1999-09-08,324775
1999-09-09,399933
1999-09-10,319733
1999-09-13,332776
1999-09-14,478301
1999-09-15,406691
1999-09-16,302219
1999-09-17,328034
1999-09-20,437809
1999-09-21,1409393
1999-09-22,717592
1999-09-23,725138
1999-09-24,1307834
1999-09-27,825935
1999-09-28,788984
1999-09-29,1134594
1999-09-30,654874
1999-10-01,663594
1999-10-04,338598
1999-10-05,912161
1999-10-06,2881528
1999-10-07,930236
1999-10-08,762337
1999-10-11,1040270
1999-10-12,617063
1999-10-13,535531
1999-10-14,367606
1999-10-15,402047
1999-10-18,411119
1999-10-19,589569
1999-10-20,665020
1999-10-21,729002
1999-10-22,548171
1999-10-25,408983
1999-10-26,919228
1999-10-27,409257
1999-10-28,426059
1999-10-29,631839
1999-11-01,1495412
1999-11-02,1597446
1999-11-03,3842665
1999-11-04,2405451
1999-11-05,1178273
1999-11-08,897532
1999-11-09,520315
1999-11-10,275218
1999-11-11,1074145
1999-11-12,957798
1999-11-15,691668
1999-11-16,1383645
1999-11-17,1502784
1999-11-18,450743
1999-11-19,4135077
1999-11-22,1060190
1999-11-23,1056549
1999-11-24,776790
1999-11-26,132992
1999-11-29,569158
1999-11-30,597877
1999-12-01,426994
1999-12-02,591667
1999-12-03,654329
1999-12-06,340883
1999-12-07,355818
1999-12-08,385523
1999-12-09,410553
1999-12-10,187830
1999-12-13,350921
1999-12-14,523080
1999-12-15,393628
1999-12-16,253214
1999-12-17,500732
1999-12-20,767186
1999-12-21,741941
1999-12-22,479715
1999-12-23,535452
1999-12-27,386539
1999-12-28,342292
1999-12-29,252466
1999-12-30,267084
1999-12-31,243056
2000-01-03,574524
2000-01-04,573888
2000-01-05,359914
2000-01-06,230229
2000-01-07,135977
2000-01-10,458104
2000-01-11,283077
2000-01-12,235861
2000-01-13,252646
2000-01-14,1154254
2000-01-18,499332
2000-01-19,314614
2000-01-20,342941
2000-01-21,1039661
2000-01-24,490516
2000-01-25,452600
2000-01-26,443965
2000-01-27,874851
2000-01-28,371537
2000-01-31,348497
2000-02-01,177650
2000-02-02,284704
2000-02-03,206788
2000-02-04,236352
2000-02-07,415389
2000-02-08,896141
2000-02-09,1125593
2000-02-10,1853476
2000-02-11,809572
2000-02-14,1241766
2000-02-15,860527
2000-02-16,1947528
2000-02-17,1023035
2000-02-18,1835636
2000-02-22,1036189
2000-02-23,976519
2000-02-24,466505
2000-02-25,532631
2000-02-28,988956
2000-02-29,584287
2000-03-01,732739
2000-03-02,365026
2000-03-03,522547
2000-03-06,822218
2000-03-07,3728099
2000-03-08,1276967
2000-03-09,1822285
