"Date","Value"
"05/16/1949",176.21
"05/17/1949",174.8
"05/18/1949",172.53
"05/19/1949",171.34
"05/20/1949",169.2
"05/23/1949",171.85
"05/24/1949",172.75
"05/25/1949",171.53
"05/26/1949",170.43
"05/27/1949",172.76
"05/30/1949",176.21
"05/31/1949",176.52
"06/01/1949",175.97
"06/02/1949",174.76
"06/03/1949",175.48
"06/06/1949",174.92
"06/07/1949",173.83
"06/08/1949",171.53
"06/09/1949",170.15
"06/10/1949",167.98
"06/13/1949",165.27
"06/14/1949",158.98
"06/15/1949",153.81
"06/16/1949",157.8
"06/17/1949",160.13
"06/20/1949",155.45
"06/21/1949",152.99
"06/22/1949",155.01
"06/23/1949",155.76
"06/24/1949",154.04
"06/27/1949",150.58
"06/28/1949",147.13
"06/29/1949",146.14
"06/30/1949",146.92
"07/01/1949",147.37
"07/04/1949",149.14
"07/05/1949",146.52
"07/06/1949",144.18
"07/07/1949",143.66
"07/08/1949",142.16
"07/11/1949",135.84
"07/12/1949",134.8
"07/13/1949",140.02
"07/14/1949",141.28
"07/15/1949",142.29
"07/18/1949",147.23
"07/19/1949",148.55
"07/20/1949",147.09
"07/21/1949",145.97
"07/22/1949",145.67
"07/25/1949",144.88
"07/26/1949",144.66
"07/27/1949",145.47
"07/28/1949",145.51
"07/29/1949",144.59
"08/01/1949",145.63
"08/02/1949",150
"08/03/1949",154.46
"08/04/1949",155.57
"08/05/1949",154.24
"08/08/1949",156.46
"08/09/1949",157.68
"08/10/1949",159.3
"08/11/1949",162.75
"08/12/1949",164.73
"08/15/1949",159
"08/16/1949",159.14
"08/17/1949",158.23
"08/18/1949",158.17
"08/19/1949",158.81
"08/22/1949",160.51
"08/23/1949",162.02
"08/24/1949",164.34
"08/25/1949",167.64
"08/26/1949",173.2
"08/29/1949",173.22
"08/30/1949",174.1
"08/31/1949",175.18
"09/01/1949",176.89
"09/02/1949",173
"09/05/1949",172.21
"09/06/1949",172.41
"09/07/1949",171.89
"09/08/1949",170.11
"09/09/1949",168.86
"09/12/1949",172.23
"09/13/1949",171.25
"09/14/1949",169.87
"09/15/1949",168.3
"09/16/1949",162.54
"09/19/1949",167.07
"09/20/1949",163.94
"09/21/1949",162.22
"09/22/1949",163
"09/26/1949",162.49
"09/27/1949",160.41
"09/28/1949",160.61
"09/29/1949",162.07
"09/30/1949",163.29
"10/03/1949",160.72
"10/04/1949",153.7
"10/05/1949",153
"10/06/1949",153.4
"10/07/1949",156.84
"10/10/1949",154.16
"10/11/1949",151.87
"10/12/1949",150.42
"10/13/1949",147.66
"10/14/1949",146.97
"10/17/1949",144.44
"10/18/1949",143.45
"10/19/1949",142.45
"10/20/1949",140.24
"10/21/1949",138.06
"10/24/1949",135.94
"10/25/1949",131.09
"10/26/1949",133.79
"10/27/1949",138.5
"10/28/1949",143.31
"10/31/1949",141.54
"11/01/1949",138.86
"11/02/1949",137.78
"11/04/1949",138.06
"11/07/1949",135.97
"11/08/1949",133.41
"11/09/1949",132.94
