"Date","Value"
"12/19/1990",99.98
"12/20/1990",104.39
"12/21/1990",109.13
"12/24/1990",114.55
"12/25/1990",120.25
"12/26/1990",125.27
"12/27/1990",125.28
"12/28/1990",126.45
"12/31/1990",127.61
"01/02/1991",128.84
"01/03/1991",130.14
"01/04/1991",131.44
"01/07/1991",132.06
"01/08/1991",132.68
"01/09/1991",133.34
"01/10/1991",133.97
"01/11/1991",134.6
"01/14/1991",134.67
"01/15/1991",134.74
"01/16/1991",134.24
"01/17/1991",134.25
"01/18/1991",134.24
"01/21/1991",134.24
"01/22/1991",133.72
"01/23/1991",133.17
"01/24/1991",132.61
"01/25/1991",132.05
"01/28/1991",131.46
"01/29/1991",130.95
"01/30/1991",130.44
"01/31/1991",129.97
"02/01/1991",129.51
"02/04/1991",129.05
"02/05/1991",128.58
"02/06/1991",129.14
"02/07/1991",129.79
"02/08/1991",130.38
"02/11/1991",130.97
"02/12/1991",131.35
"02/13/1991",131.92
"02/14/1991",132.53
"02/19/1991",133.13
"02/20/1991",133.67
"02/21/1991",134.28
"02/22/1991",134.87
"02/25/1991",134.4
"02/26/1991",133.93
"02/27/1991",133.47
"02/28/1991",133.01
"03/01/1991",132.53
"03/04/1991",131.99
"03/05/1991",131.46
"03/06/1991",130.94
"03/07/1991",130.41
"03/08/1991",129.89
"03/11/1991",129.31
"03/12/1991",128.77
"03/13/1991",126.15
"03/14/1991",125.63
"03/15/1991",125.17
"03/18/1991",124.71
"03/19/1991",124.22
"03/20/1991",123.66
"03/21/1991",123.12
"03/22/1991",122.62
"03/25/1991",122.12
"03/26/1991",121.62
"03/27/1991",121.12
"03/28/1991",120.61
"03/29/1991",120.19
"04/01/1991",120.73
"04/02/1991",121.21
"04/03/1991",121.71
"04/04/1991",121.72
"04/05/1991",121.54
"04/08/1991",121.09
"04/09/1991",120.62
"04/10/1991",120.16
"04/11/1991",119.64
"04/12/1991",119.21
"04/15/1991",118.77
"04/16/1991",118.34
"04/17/1991",117.9
"04/18/1991",117.45
"04/19/1991",117.08
"04/22/1991",116.63
"04/23/1991",116.19
"04/24/1991",115.79
"04/25/1991",115.36
"04/26/1991",115.56
"04/29/1991",114.75
"04/30/1991",113.94
"05/02/1991",113.16
"05/03/1991",112.41
"05/06/1991",111.61
"05/07/1991",110.82
"05/08/1991",110.03
"05/09/1991",109.29
"05/10/1991",108.53
"05/13/1991",107.84
"05/14/1991",107.19
"05/15/1991",106.57
"05/16/1991",105.77
"05/17/1991",106.75
"05/20/1991",107.82
"05/21/1991",108.81
"05/22/1991",108.25
"05/23/1991",109.08
"05/24/1991",110.08
"05/27/1991",110.66
"05/28/1991",111.68
"05/29/1991",112.75
"05/30/1991",113.82
"05/31/1991",114.83
"06/03/1991",115.97
"06/04/1991",117.12
"06/05/1991",118.17
"06/06/1991",119.35
"06/07/1991",120.47
"06/10/1991",121.67
"06/11/1991",122.89
"06/12/1991",124.11
"06/13/1991",125.34
"06/14/1991",124.53
"06/17/1991",125.77
"06/18/1991",127.03
"06/19/1991",128.29
"06/20/1991",129.57
"06/21/1991",130.86
"06/24/1991",132.17
"06/25/1991",133.49
"06/26/1991",134.83
"06/27/1991",136.19
"06/28/1991",137.56
"07/01/1991",136.85
"07/02/1991",135.96
"07/03/1991",135.27
"07/04/1991",136.63
"07/05/1991",135.96
"07/08/1991",135.28
"07/09/1991",134.64
"07/10/1991",133.99
"07/11/1991",133.38
"07/12/1991",132.8
"07/15/1991",133.14
"07/16/1991",134.47
"07/17/1991",135.81
"07/18/1991",137.17
"07/19/1991",136.7
"07/22/1991",138.07
"07/23/1991",139.39
"07/24/1991",140.68
"07/25/1991",140.19
"07/26/1991",140.66
"07/29/1991",141.52
"07/30/1991",142.39
"07/31/1991",143.8
"08/01/1991",145.24
"08/02/1991",146.68
"08/05/1991",148.15
"08/06/1991",149.62
"08/07/1991",151.12
"08/08/1991",152.61
"08/09/1991",154.1
"08/12/1991",155.54
"08/13/1991",157.07
"08/14/1991",158.63
"08/15/1991",160.21
"08/16/1991",161.6
"08/19/1991",163.21
"08/20/1991",164.84
"08/21/1991",166.49
"08/22/1991",168.16
"08/23/1991",169.81
"08/26/1991",171.51
"08/27/1991",173.19
"08/28/1991",174.92
"08/29/1991",176.66
"08/30/1991",178.43
"09/02/1991",180.22
"09/03/1991",181.97
"09/04/1991",183.69
"09/05/1991",185.51
"09/06/1991",187.36
"09/09/1991",189.24
"09/10/1991",188.33
"09/11/1991",187.22
"09/12/1991",186.22
"09/13/1991",187.79
"09/16/1991",189.66
"09/17/1991",188.65
"09/18/1991",187.63
"09/19/1991",186.88
"09/20/1991",185.92
"09/23/1991",185
"09/24/1991",184.08
"09/25/1991",183.19
"09/26/1991",182.33
"09/27/1991",181.82
"09/30/1991",180.92
"10/03/1991",182.48
"10/04/1991",184.29
"10/07/1991",186
"10/08/1991",187.49
