Date,Value
2010-06-29,18783770
2010-06-30,17194844
2010-07-01,8229870
2010-07-02,5141812
2010-07-06,6879302
2010-07-07,6924658
2010-07-08,7719548
2010-07-09,4058610
2010-07-12,2203650
2010-07-13,2679974
2010-07-14,4196241
2010-07-15,3745301
2010-07-16,2621213
2010-07-19,2486560
2010-07-20,1825179
2010-07-21,1253443
2010-07-22,962346
2010-07-23,654031
2010-07-26,922480
2010-07-27,619676
2010-07-28,467170
2010-07-29,615929
2010-07-30,426818
2010-08-02,719166
2010-08-03,1230991
2010-08-04,920731
2010-08-05,796357
2010-08-06,742139
2010-08-09,812682
2010-08-10,1281328
2010-08-11,797624
2010-08-12,691258
2010-08-13,634493
2010-08-16,486211
2010-08-17,447895
2010-08-18,601313
2010-08-19,579101
2010-08-20,297490
2010-08-23,1088030
2010-08-24,673075
2010-08-25,503305
2010-08-26,433750
2010-08-27,379631
2010-08-30,732754
2010-08-31,201018
2010-09-01,495671
2010-09-02,487061
2010-09-03,434744
2010-09-07,243328
2010-09-08,288374
2010-09-09,376208
2010-09-10,386583
2010-09-13,360693
2010-09-14,654630
2010-09-15,684740
2010-09-16,2685883
2010-09-17,1198495
2010-09-20,947503
2010-09-21,796024
2010-09-22,962846
2010-09-23,668077
2010-09-24,578988
2010-09-27,418610
2010-09-28,1214500
2010-09-29,1969405
2010-09-30,2196563
2010-10-01,599054
2010-10-04,643581
2010-10-05,331936
2010-10-06,313552
2010-10-07,141020
2010-10-08,268110
2010-10-11,171189
2010-10-12,243905
2010-10-13,320532
2010-10-14,294612
2010-10-15,284832
2010-10-18,162734
2010-10-19,245135
2010-10-20,312453
2010-10-21,417987
2010-10-22,161016
2010-10-25,118614
2010-10-26,660842
2010-10-27,356500
2010-10-28,224197
2010-10-29,280682
2010-11-01,455772
2010-11-02,322474
2010-11-03,374189
2010-11-04,1874803
2010-11-05,1010922
2010-11-08,509463
2010-11-09,957750
2010-11-10,3060979
2010-11-11,1945096
2010-11-12,2729117
2010-11-15,2625085
2010-11-16,1347732
2010-11-17,750342
2010-11-18,956268
2010-11-19,1150495
2010-11-22,1530001
2010-11-23,1578099
2010-11-24,1424985
2010-11-26,350560
2010-11-29,1145564
2010-11-30,2222923
2010-12-01,1299176
2010-12-02,2007006
2010-12-03,1160439
2010-12-06,1274402
2010-12-07,1311549
2010-12-08,660981
2010-12-09,405991
2010-12-10,429373
2010-12-13,410339
2010-12-14,1766912
2010-12-15,742886
2010-12-16,790071
2010-12-17,813834
2010-12-20,523311
2010-12-21,777693
2010-12-22,833242
2010-12-23,1557127
2010-12-27,9302556
2010-12-28,4056685
2010-12-29,3319505
2010-12-30,2041115
2010-12-31,1417817
2011-01-03,1284114
2011-01-04,1189072
2011-01-05,1446903
2011-01-06,2061263
2011-01-07,2249590
2011-01-10,1342842
2011-01-11,1711319
2011-01-12,964702
2011-01-13,723523
2011-01-14,1192150
2011-01-18,1623803
2011-01-19,2371516
2011-01-20,2279960
2011-01-21,1216942
2011-01-24,1645231
2011-01-25,1271527
2011-01-26,1079868
2011-01-27,895634
2011-01-28,1048838
2011-01-31,831597
2011-02-01,707792
2011-02-02,569473
2011-02-03,512055
2011-02-04,543918
2011-02-07,895012
2011-02-08,3505272
2011-02-09,2636197
2011-02-10,836043
2011-02-11,636603
2011-02-14,1283439
2011-02-15,960877
2011-02-16,4115910
2011-02-17,2619878
2011-02-18,2370711
2011-02-22,2064542
2011-02-23,1605666
2011-02-24,1055451
2011-02-25,1347258
2011-02-28,1051133
2011-03-01,1106351
2011-03-02,663278
2011-03-03,640141
2011-03-04,1580064
2011-03-07,2033582
2011-03-08,1399852
2011-03-09,924722
2011-03-10,1017073
2011-03-11,930818
2011-03-14,1165972
2011-03-15,1318870
2011-03-16,1169646
2011-03-17,922529
2011-03-18,687842
2011-03-21,411640
2011-03-22,582798
2011-03-23,422805
2011-03-24,462173
2011-03-25,567938
2011-03-28,1058019
2011-03-29,755611
2011-03-30,1223909
2011-03-31,11522351
2011-04-01,2865025
2011-04-04,2609230
2011-04-05,3181730
2011-04-06,1288298
2011-04-07,2810769
2011-04-08,1946354
2011-04-11,1372234
2011-04-12,1357369
2011-04-13,1211445
2011-04-14,983383
2011-04-15,943430
2011-04-18,1033897
2011-04-19,548680
2011-04-20,837489
2011-04-21,1386086
2011-04-25,800822
2011-04-26,1372314
2011-04-27,996880
2011-04-28,1644999
2011-04-29,726341
2011-05-02,784561
2011-05-03,913946
2011-05-04,1047147
2011-05-05,1219478
2011-05-06,981607
2011-05-09,916324
2011-05-10,1535660
2011-05-11,962987
2011-05-12,627754
2011-05-13,661592
2011-05-16,755606
2011-05-17,1234186
2011-05-18,729424
2011-05-19,2655370
2011-05-20,842553
2011-05-23,863549
2011-05-24,613660
2011-05-25,4693816
2011-05-26,3336826
2011-05-27,1687071
2011-05-31,3290460
2011-06-01,1530365
2011-06-02,986274
2011-06-03,6210339
2011-06-06,2331721
2011-06-07,1222074
2011-06-08,1696938
2011-06-09,1604187
2011-06-10,1566500
2011-06-13,1713727
2011-06-14,1573345
2011-06-15,1346551
2011-06-16,1842168
2011-06-17,1714006
2011-06-20,1537711
2011-06-21,1496532
2011-06-22,1475535
2011-06-23,1169966
2011-06-24,3608940
2011-06-27,1809408
2011-06-28,889133
2011-06-29,1461710
2011-06-30,946655
2011-07-01,854857
2011-07-05,996011
2011-07-06,926909
2011-07-07,1327822
2011-07-08,1240607
2011-07-11,975704
2011-07-12,1045407
2011-07-13,1065921
2011-07-14,1159157
2011-07-15,708970
2011-07-18,852299
2011-07-19,1026027
2011-07-20,3048461
2011-07-21,1011986
2011-07-22,583881
2011-07-25,673478
2011-07-26,762949
2011-07-27,958425
2011-07-28,938730
2011-07-29,948128
2011-08-01,1164823
2011-08-02,1549356
2011-08-03,1801291
2011-08-04,3065599
2011-08-05,1964378
2011-08-08,2608575
2011-08-09,1333415
2011-08-10,1564149
2011-08-11,836505
2011-08-12,1009021
2011-08-15,738590
2011-08-16,537689
2011-08-17,643773
2011-08-18,1056544
2011-08-19,1375315
2011-08-22,986155
2011-08-23,868992
2011-08-24,684222
2011-08-25,680228
2011-08-26,761757
2011-08-29,803283
2011-08-30,366659
2011-08-31,823716
2011-09-01,848086
2011-09-02,770332
2011-09-06,809740
2011-09-07,459175
2011-09-08,505698
2011-09-09,669246
2011-09-12,566557
2011-09-13,726444
2011-09-14,830798
2011-09-15,562526
2011-09-16,1417575
2011-09-19,1157350
2011-09-20,1180352
2011-09-21,987555
2011-09-22,776021
2011-09-23,1156356
2011-09-26,934694
2011-09-27,674430
2011-09-28,723189
2011-09-29,929546
2011-09-30,1336055
2011-10-03,1023131
2011-10-04,1200185
2011-10-05,1229386
2011-10-06,1768988
2011-10-07,1311520
2011-10-10,923437
2011-10-11,576016
2011-10-12,1123341
2011-10-13,1043836
2011-10-14,1400470
2011-10-17,754440
2011-10-18,999670
2011-10-19,792851
2011-10-20,999670
2011-10-21,1142576
2011-10-24,940531
2011-10-25,654358
2011-10-26,510469
2011-10-27,869318
2011-10-28,1264969
2011-10-31,1133970
2011-11-01,635762
2011-11-02,875522
2011-11-03,2510606
2011-11-04,3033110
2011-11-07,1266295
2011-11-08,1167853
2011-11-09,953676
2011-11-10,747288
2011-11-11,3875196
2011-11-14,1325681
2011-11-15,890906
2011-11-16,1833106
2011-11-17,1349242
2011-11-18,902713
2011-11-21,1031506
2011-11-22,732519
2011-11-23,451822
2011-11-25,239600
2011-11-28,681137
2011-11-29,591066
2011-11-30,760980
2011-12-01,1030090
2011-12-02,802719
2011-12-05,1160071
2011-12-06,951827
2011-12-07,674233
2011-12-08,3305884
2011-12-09,1239421
2011-12-12,758643
2011-12-13,993996
2011-12-14,1163841
2011-12-15,700262
2011-12-16,1029628
2011-12-19,986953
2011-12-20,844382
2011-12-21,1705809
2011-12-22,1009781
2011-12-23,591391
2011-12-27,777420
2011-12-28,575151
2011-12-29,488140
2011-12-30,339860
2012-01-03,928053
2012-01-04,630023
2012-01-05,1005433
2012-01-06,986288
2012-01-09,896972
2012-01-10,671718
2012-01-11,672240
2012-01-12,729285
2012-01-13,5506299
2012-01-17,4652286
2012-01-18,1260156
2012-01-19,1246223
2012-01-20,662275
2012-01-23,594547
2012-01-24,857915
2012-01-25,611126
2012-01-26,1271003
2012-01-27,748347
2012-01-30,728965
2012-01-31,956714
2012-02-01,523170
2012-02-02,805627
2012-02-03,764434
2012-02-06,652162
2012-02-07,1021523
2012-02-08,623638
2012-02-09,1277969
2012-02-10,1874105
2012-02-13,1157837
2012-02-14,1811334
2012-02-15,2764479
2012-02-16,2219677
2012-02-17,1376623
2012-02-21,1135789
2012-02-22,1654958
2012-02-23,820346
2012-02-24,959867
2012-02-27,605943
2012-02-28,612184
2012-02-29,535675
2012-03-01,703436
2012-03-02,549962
2012-03-05,466930
2012-03-06,573739
2012-03-07,364831
2012-03-08,633279
2012-03-09,1553425
2012-03-12,1964555
2012-03-13,1001644
2012-03-14,851479
2012-03-15,571587
2012-03-16,729249
2012-03-19,1015587
2012-03-20,567011
2012-03-21,607093
2012-03-22,522344
2012-03-23,1170568
2012-03-26,3140844
2012-03-27,2540015
2012-03-28,954956
2012-03-29,796349
2012-03-30,886327
2012-04-02,1028522
2012-04-03,1104151
2012-04-04,4482744
2012-04-05,1509506
2012-04-09,1655807
2012-04-10,1847671
2012-04-11,1105448
2012-04-12,1034137
2012-04-13,649569
2012-04-16,1099752
2012-04-17,1115518
2012-04-18,823082
2012-04-19,774893
2012-04-20,821790
2012-04-23,890699
2012-04-24,674455
2012-04-25,712134
2012-04-26,427627
2012-04-27,590216
2012-04-30,413956
2012-05-01,658948
2012-05-02,497260
2012-05-03,842108
2012-05-04,1247487
2012-05-07,1157992
2012-05-08,3097245
2012-05-09,1947830
2012-05-10,5556205
2012-05-11,1221206
2012-05-14,1380843
2012-05-15,1585684
2012-05-16,1257168
2012-05-17,1149068
2012-05-18,1616453
2012-05-21,1475172
2012-05-22,2366219
2012-05-23,1220350
2012-05-24,1075500
2012-05-25,756995
2012-05-29,1649950
2012-05-30,1307117
2012-05-31,1118725
2012-06-01,885730
2012-06-04,1030857
2012-06-05,630899
2012-06-06,910509
2012-06-07,492026
2012-06-08,881192
2012-06-11,635935
2012-06-12,568983
2012-06-13,844389
2012-06-14,872144
2012-06-15,646738
2012-06-18,1256821
2012-06-19,911013
2012-06-20,3422346
2012-06-21,1891897
2012-06-22,3047401
2012-06-25,1503160
2012-06-26,2613802
2012-06-27,1047215
2012-06-28,914041
2012-06-29,1125705
2012-07-02,1315561
2012-07-03,947129
2012-07-05,1253867
2012-07-06,784662
2012-07-09,910393
2012-07-10,758367
2012-07-11,638529
2012-07-12,1125671
2012-07-13,1304890
2012-07-16,1743881
2012-07-17,2569419
2012-07-18,2882033
2012-07-19,1435853
2012-07-20,1568438
2012-07-23,1386744
2012-07-24,1500647
2012-07-25,2844068
2012-07-26,2262959
2012-07-27,1672936
2012-07-30,2065997
2012-07-31,1575062
2012-08-01,1592219
2012-08-02,1305017
2012-08-03,1209471
2012-08-06,1528203
2012-08-07,2387354
2012-08-08,1308869
2012-08-09,672598
2012-08-10,707391
2012-08-13,870051
2012-08-14,793321
2012-08-15,525386
2012-08-16,668974
2012-08-17,508133
2012-08-20,1178985
2012-08-21,761533
2012-08-22,775506
2012-08-23,1471004
2012-08-24,1430042
2012-08-27,1350326
2012-08-28,1402687
2012-08-29,838884
2012-08-30,656308
2012-08-31,539725
2012-09-04,752497
2012-09-05,639241
2012-09-06,841626
2012-09-07,953171
2012-09-10,1484049
2012-09-11,1014850
2012-09-12,1145311
2012-09-13,1486330
2012-09-14,1536671
2012-09-17,3212935
2012-09-18,1788448
2012-09-19,1048458
2012-09-20,912373
2012-09-21,1870135
2012-09-24,1302005
2012-09-25,5684958
2012-09-26,1527322
2012-09-27,1758518
2012-09-28,4343342
2012-10-01,884306
2012-10-02,728984
2012-10-03,1055267
2012-10-04,1541209
2012-10-05,938671
2012-10-08,890007
2012-10-09,1193455
2012-10-10,505053
2012-10-11,450571
2012-10-12,987557
2012-10-15,1469169
2012-10-16,479259
2012-10-17,667971
2012-10-18,740932
2012-10-19,1027281
