Date,Value
11/26/1990,1443.2
12/03/1990,1462.6
01/02/1991,1366.1
02/01/1991,1426.5
03/01/1991,1516.7
04/02/1991,1538.6
05/02/1991,1630.0
06/03/1991,1694.1
07/01/1991,1625.2
08/01/1991,1622.6
09/02/1991,1650.5
10/01/1991,1609.6
11/01/1991,1573.6
12/02/1991,1545.4
01/02/1992,1601.9
02/03/1992,1689.0
03/02/1992,1747.9
04/01/1992,1707.3
05/04/1992,1728.3
06/01/1992,1798.1
07/01/1992,1756.3
08/03/1992,1594.7
09/01/1992,1518.7
10/01/1992,1484.0
11/02/1992,1472.6
12/01/1992,1544.9
01/04/1993,1531.3
02/01/1993,1585.2
03/01/1993,1701.0
04/01/1993,1671.5
05/03/1993,1629.2
06/01/1993,1619.9
07/01/1993,1706.6
08/02/1993,1815.1
09/01/1993,1918.6
10/01/1993,1912.1
11/01/1993,2062.1001
12/01/1993,2089.8999
01/03/1994,2268.0
02/01/1994,2179.7
03/01/1994,2067.1001
04/05/1994,2158.3
05/02/1994,2268.7
06/01/1994,2129.7
07/01/1994,2036.5
08/01/1994,2153.8
09/01/1994,2200.8
10/04/1994,1995.0
11/01/1994,2069.7
12/01/1994,2046.6
01/02/1995,2079.5
02/01/1995,2048.3999
03/01/1995,2126.2
04/03/1995,1930.8
05/02/1995,2035.9
06/01/1995,2126.3999
07/03/1995,2092.3
08/01/1995,2220.0
09/01/1995,2233.1001
10/02/1995,2205.0
11/01/1995,2163.2
12/01/1995,2260.7
01/02/1996,2284.8999
02/01/1996,2459.3
03/01/1996,2501.2
04/01/1996,2489.1001
05/02/1996,2502.3
06/03/1996,2532.8
07/01/1996,2564.0
08/01/1996,2494.5
09/02/1996,2532.8999
10/01/1996,2655.7
11/01/1996,2683.3
12/02/1996,2858.6001
01/02/1997,2848.8
02/03/1997,3062.3
03/03/1997,3263.8999
04/01/1997,3295.8999
05/02/1997,3460.3999
06/02/1997,3596.3999
07/01/1997,3834.8
08/01/1997,4337.0
09/01/1997,4001.8
10/01/1997,4263.0
11/03/1997,3847.7
12/01/1997,4125.8999
01/02/1998,4364.2998
02/02/1998,4529.8999
03/02/1998,4781.6001
04/01/1998,5135.3999
05/04/1998,5314.6602
06/02/1998,5582.7798
07/01/1998,5906.8501
08/03/1998,5758.77
09/01/1998,4791.8101
10/01/1998,4226.4902
11/02/1998,4761.1499
12/01/1998,4781.73
01/04/1999,5252.3599
02/01/1999,5190.8198
03/01/1999,4784.3101
04/01/1999,4914.5898
05/03/1999,5377.5601
06/01/1999,5021.2402
07/01/1999,5480.2202
08/02/1999,5129.5
09/01/1999,5317.1201
10/01/1999,5124.5498
11/01/1999,5524.9199
12/01/1999,5933.8398
01/03/2000,6751.0
02/01/2000,7050.5
03/01/2000,7727.9
04/03/2000,7429.2
05/02/2000,7555.9
06/01/2000,7272.8
07/03/2000,6950.6
08/01/2000,7145.5
09/01/2000,7344.7
10/02/2000,6862.3
11/01/2000,7059.1
12/01/2000,6512.9
01/02/2001,6289.8
02/01/2001,6704.7
03/01/2001,6123.4
04/02/2001,5760.8
05/02/2001,6213.8
06/01/2001,6125.2
07/02/2001,6109.5
08/01/2001,5835.2
09/03/2001,5094.1
10/01/2001,4239.97
11/01/2001,4636.13
12/03/2001,4988.44
01/02/2002,5167.88
02/01/2002,5097.06
03/01/2002,5097.41
04/02/2002,5311.08
05/02/2002,4964.56
06/03/2002,4747.95
07/01/2002,4366.81
08/01/2002,3606.45
09/02/2002,3609.41
10/01/2002,2865.23
11/01/2002,3165.16
12/02/2002,3380.2
01/02/2003,3105.04
02/03/2003,2751.99
03/03/2003,2549.65
04/01/2003,2450.19
05/02/2003,2986.0
06/02/2003,3064.56
07/01/2003,3146.55
08/01/2003,3438.89
09/01/2003,3571.22
10/01/2003,3329.83
11/03/2003,3744.5
12/01/2003,3821.2
01/02/2004,4018.5
02/02/2004,4071.6
03/01/2004,4054.43
04/01/2004,3924.85
05/03/2004,4007.65
06/01/2004,3864.18
07/01/2004,4035.02
08/02/2004,3862.71
09/01/2004,3817.62
10/01/2004,3994.96
11/01/2004,4012.64
12/01/2004,4186.03
01/03/2005,4291.53
02/01/2005,4279.97
03/01/2005,4383.62
04/01/2005,4373.53
05/02/2005,4224.02
06/01/2005,4527.17
