"Date","Value"
"02/26/1971",101.34
"03/31/1971",105.97
"04/30/1971",112.3
"05/28/1971",108.25
"06/30/1971",107.8
"07/30/1971",105.27
"08/31/1971",108.42
"09/30/1971",109.03
"10/29/1971",105.1
"11/30/1971",103.97
"12/31/1971",114.12
"01/31/1972",118.87
"02/29/1972",125.38
"03/30/1972",128.14
"04/28/1972",131.33
"05/31/1972",132.53
"06/30/1972",130.08
"07/31/1972",127.75
"08/31/1972",129.95
"09/29/1972",129.61
"10/31/1972",130.24
"11/30/1972",132.96
"12/29/1972",133.73
"01/31/1973",128.4
"02/28/1973",120.41
"03/30/1973",117.46
"04/30/1973",107.85
"05/31/1973",102.64
"06/29/1973",100.98
"07/31/1973",108.64
"08/31/1973",104.87
"09/28/1973",111.2
"10/31/1973",110.17
"11/30/1973",93.51
"12/31/1973",92.19
"01/31/1974",94.93
"02/28/1974",94.35
"03/29/1974",92.27
"04/30/1974",86.86
"05/31/1974",80.2
"06/28/1974",75.96
"07/31/1974",69.99
"08/30/1974",62.37
"09/30/1974",55.67
"10/31/1974",65.23
"11/29/1974",62.95
"12/31/1974",59.82
"01/31/1975",69.78
"02/28/1975",73
"03/31/1975",75.66
"04/30/1975",78.54
"05/30/1975",83.1
"06/30/1975",87.02
"07/31/1975",83.19
"08/29/1975",79.01
"09/30/1975",74.33
"10/31/1975",76.99
"11/28/1975",78.8
"12/31/1975",77.62
"01/30/1976",87.05
"02/27/1976",90.26
"03/31/1976",90.62
"04/30/1976",90.08
"05/28/1976",88.04
"06/30/1976",90.32
"07/30/1976",91.29
"08/31/1976",89.7
"09/30/1976",91.26
"10/29/1976",90.35
"11/30/1976",91.12
"12/31/1976",97.88
"01/31/1977",95.54
"02/28/1977",94.57
"03/31/1977",94.13
"04/29/1977",95.48
"05/31/1977",95.59
"06/30/1977",99.73
"07/29/1977",100.65
"08/31/1977",100.1
"09/30/1977",100.85
"10/31/1977",97.52
"11/30/1977",103.15
"12/30/1977",105.05
"01/31/1978",100.84
"02/28/1978",101.47
"03/31/1978",106.2
"04/28/1978",115.18
"05/31/1978",120.24
"06/30/1978",120.3
"07/31/1978",126.32
"08/31/1978",135.01
"09/29/1978",132.89
"10/31/1978",111.12
"11/30/1978",114.69
"12/29/1978",117.98
"01/31/1979",125.82
"02/28/1979",122.56
"03/30/1979",131.76
"04/30/1979",133.82
"05/31/1979",131.42
"06/29/1979",138.13
"07/31/1979",141.33
"08/31/1979",150.44
"09/28/1979",149.98
"10/31/1979",135.53
"11/30/1979",144.26
"12/31/1979",151.14
"01/31/1980",161.75
"02/29/1980",158.03
"03/31/1980",131
"04/30/1980",139.99
"05/30/1980",150.45
"06/30/1980",157.78
"07/31/1980",171.81
"08/29/1980",181.52
"09/30/1980",187.76
"10/31/1980",192.78
"11/28/1980",208.15
"12/31/1980",202.34
"01/30/1981",197.81
"02/27/1981",198.01
"03/31/1981",210.18
"04/30/1981",216.74
"05/29/1981",223.47
"06/30/1981",215.75
"07/31/1981",211.63
"08/31/1981",195.75
"09/30/1981",180.03
"10/30/1981",195.24
"11/30/1981",201.37
"12/31/1981",195.84
"01/29/1982",188.39
"02/26/1982",179.43
"03/31/1982",175.65
"04/30/1982",184.7
"05/28/1982",178.54
"06/30/1982",171.3
"07/30/1982",167.35
"08/31/1982",177.71
"09/30/1982",187.65
"10/29/1982",212.63
"11/30/1982",232.31
"12/31/1982",232.41
"01/31/1983",248.35
"02/28/1983",260.67
"03/31/1983",270.8
"04/29/1983",293.06
"05/31/1983",308.73
"06/30/1983",318.7
"07/29/1983",303.96
"08/31/1983",292.42
"09/30/1983",296.65
"10/31/1983",274.55
"11/30/1983",285.67
"12/30/1983",278.6
"01/31/1984",268.43
"02/29/1984",252.57
"03/30/1984",250.78
"04/30/1984",247.44
"05/31/1984",232.82
"06/29/1984",241.11
"07/31/1984",229.7
"08/31/1984",254.64
"09/28/1984",249.94
"10/31/1984",247.03
"11/30/1984",242.53
"12/31/1984",247.35
"01/31/1985",278.7
"02/28/1985",284.17
"03/29/1985",279.2
"04/30/1985",280.56
"05/31/1985",290.8
"06/28/1985",296.2
"07/31/1985",301.29
"08/30/1985",297.71
"09/30/1985",280.33
"10/31/1985",292.54
"11/29/1985",313.95
"12/31/1985",324.93
"01/31/1986",335.77
"02/28/1986",359.53
"03/31/1986",374.72
"04/30/1986",383.24
"05/30/1986",400.16
"06/30/1986",405.51
"07/31/1986",371.37
"08/29/1986",382.86
"09/30/1986",350.67
"10/31/1986",360.77
"11/28/1986",359.57
"12/31/1986",348.83
"01/30/1987",392.06
"02/27/1987",424.97
"03/31/1987",430.05
"04/30/1987",417.81
"05/29/1987",416.54
"06/30/1987",424.67
"07/31/1987",434.93
"08/31/1987",454.97
"09/30/1987",444.29
"10/30/1987",323.3
"11/30/1987",305.16
"12/31/1987",330.47
"01/29/1988",344.66
"02/29/1988",366.94
"03/31/1988",374.64
"04/29/1988",379.23
"05/31/1988",370.34
"06/30/1988",394.66
"07/29/1988",387.33
"08/31/1988",376.55
"09/30/1988",387.71
"10/31/1988",382.46
"11/30/1988",371.45
"12/30/1988",381.38
"01/31/1989",401.3
"02/28/1989",399.71
"03/31/1989",406.73
"04/28/1989",427.55
"05/31/1989",446.17
"06/30/1989",435.29
"07/31/1989",453.84
"08/31/1989",469.33
"09/29/1989",472.92
"10/31/1989",455.63
"11/30/1989",456.09
"12/29/1989",454.82
"01/31/1990",415.81
"02/28/1990",425.83
"03/30/1990",435.54
"04/30/1990",420.07
"05/31/1990",458.97
"06/29/1990",462.29
"07/31/1990",438.24
"08/31/1990",381.21
"09/28/1990",344.51
"10/31/1990",329.84
"11/30/1990",359.06
"12/31/1990",373.84
"01/31/1991",414.2
"02/28/1991",453.05
"03/28/1991",482.3
"04/30/1991",484.72
"05/31/1991",506.11
"06/28/1991",475.92
"07/31/1991",502.04
"08/30/1991",525.68
"09/30/1991",526.88
"10/31/1991",542.98
"11/29/1991",523.9
"12/31/1991",586.34
"01/31/1992",620.21
"02/28/1992",633.47
"03/31/1992",603.77
"04/30/1992",578.68
"05/29/1992",585.31
"06/30/1992",563.6
"07/31/1992",580.83
"08/31/1992",563.12
"09/30/1992",583.27
"10/30/1992",605.17
"11/30/1992",652.73
"12/31/1992",676.95
"01/29/1993",696.34
"02/26/1993",670.77
"03/31/1993",690.13
"04/30/1993",661.42
"05/28/1993",700.53
"06/30/1993",703.95
"07/30/1993",704.7
"08/31/1993",742.84
"09/30/1993",762.78
"10/29/1993",779.26
"11/30/1993",754.39
"12/31/1993",776.8
"01/31/1994",800.47
"02/28/1994",792.5
"03/31/1994",743.46
"04/29/1994",733.84
"05/31/1994",735.19
"06/30/1994",705.96
"07/29/1994",722.16
"08/31/1994",765.62
"09/30/1994",764.29
"10/31/1994",777.49
"11/30/1994",750.32
"12/30/1994",751.96
"01/31/1995",755.2
"02/28/1995",793.73
"03/31/1995",817.21
"04/28/1995",843.98
"05/31/1995",864.58
"06/30/1995",933.45
"07/31/1995",1001.21
"08/31/1995",1020.11
"09/29/1995",1043.54
"10/31/1995",1036.06
"11/30/1995",1059.2
"12/29/1995",1052.13
"01/31/1996",1059.79
"02/29/1996",1100.05
"03/29/1996",1101.4
"04/30/1996",1190.52
"05/31/1996",1243.43
"06/28/1996",1185.02
"07/31/1996",1080.59
"08/30/1996",1141.5
"09/30/1996",1226.92
"10/31/1996",1221.51
"11/29/1996",1292.61
"12/31/1996",1291.03
"01/31/1997",1379.85
"02/28/1997",1309
"03/31/1997",1221.7
"04/30/1997",1260.76
"05/30/1997",1400.32
"06/30/1997",1442.07
"07/31/1997",1593.81
"08/29/1997",1587.32
"09/30/1997",1685.69
"10/31/1997",1593.61
"11/28/1997",1600.55
"12/31/1997",1570.35
"01/30/1998",1619.36
"02/27/1998",1770.51
"03/31/1998",1835.68
"04/30/1998",1868.41
"05/29/1998",1778.87
"06/30/1998",1894.74
"07/31/1998",1872.39
"08/31/1998",1499.25
"09/30/1998",1693.84
"10/30/1998",1771.39
"11/30/1998",1949.54
"12/31/1998",2192.69
"01/29/1999",2505.89
"02/26/1999",2288.03
"03/31/1999",2461.4
"04/30/1999",2542.85
"05/28/1999",2470.52
"06/30/1999",2686.12
"07/30/1999",2638.49
"08/31/1999",2739.35
"09/30/1999",2746.16
"10/29/1999",2966.43
"11/30/1999",3336.16
"12/31/1999",4069.31
"01/31/2000",3940.35
"02/29/2000",4696.69
"03/31/2000",4572.83
"04/28/2000",3860.66
"05/31/2000",3400.91
"06/30/2000",3966.11
"07/31/2000",3766.99
"08/31/2000",4206.35
"09/29/2000",3672.82
"10/31/2000",3369.63
"11/30/2000",2597.93
"12/29/2000",2470.52
"01/31/2001",2772.73
"02/28/2001",2151.83
"03/30/2001",1840.26
"04/30/2001",2116.24
"05/31/2001",2110.49
"06/29/2001",2160.54
"07/31/2001",2027.13
"08/31/2001",1805.43
"09/28/2001",1498.8
"10/31/2001",1690.2
"11/30/2001",1930.58
"12/31/2001",1950.4
"01/31/2002",1934.03
"02/28/2002",1731.49
"03/28/2002",1845.35
"04/30/2002",1688.23
"05/31/2002",1615.73
"06/28/2002",1463.21
"07/31/2002",1328.26
"08/30/2002",1314.85
"09/30/2002",1172.06
"10/31/2002",1329.75
"11/29/2002",1478.78
"12/31/2002",1335.51
"01/31/2003",1320.91
"02/28/2003",1337.52
"03/31/2003",1341.17
"04/30/2003",1464.31
"05/30/2003",1595.91
"06/30/2003",1622.8
"07/31/2003",1735.02
"08/29/2003",1810.45
"09/30/2003",1786.94
"10/31/2003",1932.21
"11/28/2003",1960.26
"12/31/2003",2003.37
"01/30/2004",2066.15
"02/27/2004",2029.82
"03/31/2004",1994.22
"04/30/2004",1920.15
"05/28/2004",1986.74
"06/30/2004",2047.79
"07/30/2004",1887.36
"08/31/2004",1838.1
"09/30/2004",1896.84
"10/29/2004",1974.99
"11/30/2004",2096.81
"12/31/2004",2175.44
"01/31/2005",2062.41
"02/28/2005",2051.72
"03/31/2005",1999.23
"04/29/2005",1921.65
"05/31/2005",2068.22
"06/30/2005",2056.96
"07/29/2005",2184.83
"08/31/2005",2152.09
"09/30/2005",2151.69
"10/31/2005",2120.3
"11/30/2005",2232.82
"12/30/2005",2205.32
"01/31/2006",2305.82
"02/28/2006",2281.39
"03/31/2006",2339.79
"04/28/2006",2322.57
"05/31/2006",2178.88
"06/30/2006",2172.09
"07/31/2006",2091.47
"08/31/2006",2183.75
"09/29/2006",2258.43
"10/31/2006",2366.71
"11/30/2006",2431.77
"12/29/2006",2415.29
"01/31/2007",2463.93
"02/28/2007",2416.15
"03/30/2007",2421.64
"04/30/2007",2525.09
"05/31/2007",2604.52
"06/29/2007",2603.23
"07/31/2007",2546.27
"08/31/2007",2596.36
"09/28/2007",2701.5
"10/31/2007",2859.12
"11/30/2007",2660.96
"12/31/2007",2652.28
"01/31/2008",2389.86
"02/29/2008",2271.48
"03/31/2008",2279.1
"04/30/2008",2412.8
"05/30/2008",2522.66
"06/30/2008",2292.98
"07/31/2008",2325.55
"08/29/2008",2367.52
"09/30/2008",2082.33
"10/31/2008",1720.95
"11/28/2008",1535.57
"12/31/2008",1577.03
"01/30/2009",1476.42
"02/27/2009",1377.84
"03/31/2009",1528.59
"04/30/2009",1717.3
"05/29/2009",1774.33
"06/30/2009",1835.04
"07/31/2009",1978.5
"08/31/2009",2009.06
"09/30/2009",2122.42
"10/30/2009",2045.11
"11/30/2009",2144.6
"12/31/2009",2269.15
"01/29/2010",2147.35
"02/26/2010",2238.26
"03/31/2010",2397.96
"04/30/2010",2461.19
"05/28/2010",2257.04
"06/30/2010",2109.24
"07/30/2010",2254.7
"08/31/2010",2114.03
"09/30/2010",2368.62
"10/29/2010",2507.41
"11/30/2010",2498.23
"12/31/2010",2652.87
