Date,Value
1999-01-22,5186596
1999-02-01,295541
1999-03-01,175913
1999-04-01,58203
1999-05-03,64610
1999-06-01,188048
1999-07-01,169929
1999-08-02,598786
1999-09-01,1079737
1999-10-01,663594
1999-11-01,1495412
1999-12-01,426994
2000-01-03,574524
2000-02-01,177650
2000-03-01,732739
2000-04-03,629993
2000-05-01,228094
2000-06-01,800029
2000-07-03,888711
2000-08-01,1339580
2000-09-01,779855
2000-10-02,1300859
2000-11-01,1163260
2000-12-01,2995630
2001-01-02,1111170
2001-02-01,1420402
2001-03-01,3495857
2001-04-02,4832036
2001-05-01,7134009
2001-06-01,3905509
2001-07-02,3973082
2001-08-01,4602791
2001-09-04,7091617
2001-10-01,7441098
2001-11-01,8356143
2001-12-03,6505535
2002-01-02,9908809
2002-02-01,5257989
2002-03-01,10011790
2002-04-01,18067950
2002-05-01,13127951
2002-06-03,6883815
2002-07-01,8891360
2002-08-01,13228999
2002-09-03,6485647
2002-10-01,6793254
2002-11-01,16289085
2002-12-02,8948651
2003-01-02,9973276
2003-02-03,5786983
2003-03-03,5395388
2003-04-01,4060966
2003-05-01,5621018
2003-06-02,11968505
2003-07-01,7464694
2003-08-01,5875053
2003-09-02,5435109
2003-10-01,6701686
2003-11-03,5910734
2003-12-01,4026721
2004-01-02,3332915
2004-02-02,4284170
2004-03-01,3870323
2004-04-01,10079930
2004-05-03,4664932
2004-06-01,2432428
2004-07-01,3869486
2004-08-02,3215319
2004-09-01,4520523
2004-10-01,4510039
2004-11-01,5002801
2004-12-01,3931547
2005-01-03,8154828
2005-02-01,3904820
2005-03-01,5631754
2005-04-01,3918588
2005-05-02,2614198
2005-06-01,6085322
2005-07-01,2407186
2005-08-01,2975038
2005-09-01,4253485
2005-10-03,4177693
2005-11-01,3060673
2005-12-01,4293883
2006-01-03,3612184
2006-02-01,3444443
2006-03-01,5377349
2006-04-03,7390113
2006-05-01,13786973
2006-06-01,8207141
2006-07-03,2669036
2006-08-01,9151936
2006-09-01,9250814
2006-10-02,9894400
2006-11-01,17977133
2006-12-01,11982806
2007-01-03,17639027
2007-02-01,9906542
2007-03-01,12789788
2007-04-02,6105803
2007-05-01,8320167
2007-06-01,6537469
2007-07-02,8554326
2007-08-01,10784836
2007-09-04,10433776
2007-10-01,9045767
2007-11-01,13451717
2007-12-03,11230600
2008-01-02,11090166
2008-02-01,13590183
2008-03-03,10289341
2008-04-01,15462080
2008-05-01,23263239
2008-06-02,16841435
2008-07-01,20201473
2008-08-01,20196001
2008-09-02,15907490
2008-10-01,12772742
2008-11-03,16591209
2008-12-01,12536295
2009-01-02,11395038
2009-02-02,13250709
2009-03-02,16042328
2009-04-01,20353298
2009-05-01,19269334
2009-06-01,23437489
2009-07-01,15961124
2009-08-03,10823675
2009-09-01,16892449
2009-10-01,22914473
2009-11-02,13592578
2009-12-01,10588326
2010-01-04,18344484
2010-02-01,21770988
2010-03-01,12740439
2010-04-01,7785569
2010-05-03,24734244
2010-06-01,12090798
2010-07-01,16892367
2010-08-02,21018420
2010-09-01,19518179
2010-10-01,22902138
2010-11-01,10860203
2010-12-01,14360706
2011-01-03,18737683
2011-02-01,14995100
2011-03-01,22654332
2011-04-01,19481513
2011-05-02,14071538
2011-06-01,17475377
2011-07-01,12393773
2011-08-01,23374733
2011-09-01,17474898
2011-10-03,21776392
2011-11-01,18127631
2011-12-01,12144918
2012-01-03,10729729
2012-02-01,9810326
2012-03-01,10312317
2012-04-02,9344461
2012-05-01,9368802
2012-06-01,10110662
2012-07-02,13329920
2012-08-01,7699112
2012-09-04,15914368
2012-10-01,11557232
2012-11-01,10844880
2012-12-03,9027555
2013-01-02,11045024
2013-02-01,6661420
2013-03-01,9037838
2013-04-01,10276787
2013-05-01,7921459
2013-06-03,10369168
2013-07-01,4654135
2013-08-01,6476491
2013-09-03,6673439
2013-10-01,5324708
2013-11-01,4833512
2013-12-02,8813929
2014-01-02,6131673
2014-02-03,10175839
2014-03-03,8902275
2014-04-01,15540587
2014-05-01,4690786
2014-06-02,4318024
2014-07-01,7639920
2014-08-01,5230442
2014-09-02,4602695
2014-10-01,8386076
2014-11-03,7378733
2014-12-01,4560338
2015-01-02,2727654
2015-02-02,6229484
2015-03-02,7263225
2015-04-01,7967738
2015-05-01,6189808
2015-06-01,9018442
2015-07-01,7330962
2015-08-03,9610221
2015-09-01,8587703
2015-10-01,11891319
2015-11-02,4619069
2015-12-01,9989231
2016-01-04,8734539
2016-02-01,7070993
2016-03-01,8537039
2016-04-01,8526669
2016-05-02,6269614
2016-06-01,9502524
2016-07-01,5362928
2016-08-01,7391291
2016-09-01,10537588
2016-10-03,5965795
2016-11-01,11637708
2016-12-01,25502880
2017-01-03,36991103
2017-02-01,14530803
2017-03-01,12448499
2017-04-03,10979222
2017-05-01,7588581
2017-06-01,12425174
2017-07-03,17503660
2017-08-01,10648863
2017-09-01,11005395
2017-10-02,12439573
2017-11-01,12417218
2017-12-01,20065007
2018-01-02,8792393
2018-02-01,12837433
2018-03-01,25732202
2018-04-02,22812254
2018-05-01,6278693
2018-06-01,10445895
2018-07-02,8851814
2018-08-01,7019458
2018-09-04,9702449
2018-10-01,15407415
2018-11-01,14032169
2018-12-03,22086227
2019-01-02,12613892
2019-02-01,15496833
2019-03-01,8864953
2019-04-01,12008018
2019-05-01,8792936
2019-06-03,11893092
2019-07-01,17679782
2019-08-01,10465948
2019-09-03,7374751
2019-10-01,9142042
2019-11-01,7054624
2019-12-02,9305737
2020-01-02,5915864
2020-02-03,6370145
2020-03-02,22184055
2020-04-01,16360536
2020-05-01,8520023
2020-06-01,9725692
2020-07-01,8138920
2020-08-03,10290996
2020-09-01,12772824
2020-10-01,13085148
2020-11-02,7468540
2020-12-01,7416670
2021-01-04,13977572
2021-02-01,5415176
2021-03-01,8805303
2021-04-01,7688312
2021-05-03,5085547
2021-06-01,11791664
2021-07-01,11977239
2021-08-02,21697058
2021-09-01,20136329
2021-10-01,24049587
