Date,Value
05/16/1949,176.21
06/01/1949,175.97
07/01/1949,147.37
08/01/1949,145.63
09/01/1949,176.89
10/03/1949,160.72
11/01/1949,138.86
12/01/1949,125.62
01/04/1950,108.56
02/01/1950,92.56
03/01/1950,108.19
04/03/1950,94.86
05/01/1950,103.78
06/01/1950,94.22
07/03/1950,85.65
08/01/1950,99.51
09/01/1950,113.46
10/02/1950,103.52
11/01/1950,108.55
12/01/1950,110.05
01/04/1951,102.1
02/01/1951,115.0
03/01/1951,122.71
04/02/1951,124.87
05/01/1951,121.11
06/01/1951,127.32
07/02/1951,126.22
08/01/1951,136.23
09/03/1951,146.42
10/01/1951,154.07
11/01/1951,165.17
12/03/1951,159.93
01/04/1952,167.8
02/01/1952,190.77
03/03/1952,184.23
04/01/1952,175.99
05/01/1952,204.41
06/02/1952,228.41
07/01/1952,249.86
08/01/1952,253.74
09/01/1952,254.38
10/01/1952,271.49
11/04/1952,321.23
12/01/1952,348.95
01/05/1953,364.89
02/02/1953,455.97
03/02/1953,393.14
04/01/1953,295.18
05/01/1953,345.29
06/01/1953,329.34
07/01/1953,347.76
08/03/1953,397.08
09/01/1953,406.94
10/01/1953,448.75
11/02/1953,440.19
12/01/1953,420.91
01/04/1954,362.88
02/01/1954,354.5
03/01/1954,349.65
04/01/1954,322.69
05/04/1954,344.3
06/01/1954,326.39
07/01/1954,352.86
08/02/1954,330.81
09/01/1954,351.27
10/01/1954,350.74
11/01/1954,330.05
12/01/1954,326.12
01/04/1955,361.1
02/01/1955,371.61
03/01/1955,362.6
04/01/1955,352.31
05/02/1955,345.96
06/01/1955,353.19
07/01/1955,352.14
08/01/1955,365.67
09/01/1955,387.46
10/03/1955,385.57
11/01/1955,410.36
12/01/1955,398.11
01/04/1956,428.59
02/01/1956,425.84
03/01/1956,441.78
04/02/1956,462.41
05/01/1956,476.03
06/01/1956,491.03
07/02/1956,482.87
08/01/1956,501.43
09/03/1956,489.78
10/01/1956,492.54
11/01/1956,514.1
12/03/1956,558.3
01/04/1957,549.45
02/01/1957,568.97
03/01/1957,569.75
04/01/1957,590.6
05/01/1957,589.97
06/03/1957,517.19
07/01/1957,515.86
08/01/1957,488.57
09/02/1957,526.52
10/01/1957,534.39
11/01/1957,515.4
12/02/1957,494.01
01/06/1958,481.61
02/03/1958,530.15
03/03/1958,526.07
04/01/1958,529.73
05/01/1958,561.05
06/02/1958,565.14
07/01/1958,586.56
08/01/1958,573.71
09/01/1958,588.06
10/01/1958,588.63
11/04/1958,614.82
12/01/1958,629.77
01/05/1959,671.28
02/02/1959,692.2
03/02/1959,727.81
04/01/1959,763.6
05/01/1959,749.94
06/01/1959,802.13
07/01/1959,811.43
08/03/1959,858.19
09/01/1959,891.45
10/01/1959,902.2
11/02/1959,953.14
12/01/1959,973.65
01/04/1960,869.34
02/01/1960,962.7
03/01/1960,1025.02
04/01/1960,1062.25
05/02/1960,1101.95
06/01/1960,971.93
07/01/1960,1092.16
08/01/1960,1097.29
09/01/1960,1178.43
10/03/1960,1229.38
11/01/1960,1262.05
12/01/1960,1309.65
01/04/1961,1366.74
02/01/1961,1514.8
03/01/1961,1536.83
04/03/1961,1599.66
05/01/1961,1646.95
06/01/1961,1648.86
07/03/1961,1760.72
08/01/1961,1752.79
09/01/1961,1615.49
10/02/1961,1486.52
11/01/1961,1360.15
12/01/1961,1333.96
01/04/1962,1425.3
02/01/1962,1518.04
03/01/1962,1479.83
04/02/1962,1420.36
05/01/1962,1369.02
06/01/1962,1384.5
07/02/1962,1462.22
08/01/1962,1412.11
09/03/1962,1399.72
10/01/1962,1261.79
11/01/1962,1286.09
12/03/1962,1457.11
01/04/1963,1418.25
02/01/1963,1464.7
03/01/1963,1508.18
04/01/1963,1624.17
05/01/1963,1592.99
06/03/1963,1550.78
07/01/1963,1596.55
08/01/1963,1370.76
09/02/1963,1344.36
10/01/1963,1316.79
11/01/1963,1334.57
12/02/1963,1257.3
01/06/1964,1205.48
02/03/1964,1305.1
03/02/1964,1253.9
04/01/1964,1233.92
05/01/1964,1238.38
06/01/1964,1319.34
07/01/1964,1352.97
08/03/1964,1303.76
09/01/1964,1293.92
10/01/1964,1223.64
11/02/1964,1207.62
12/01/1964,1209.09
01/04/1965,1227.11
02/01/1965,1242.83
03/01/1965,1206.48
04/01/1965,1127.58
05/04/1965,1173.48
06/01/1965,1092.85
07/01/1965,1064.59
08/02/1965,1120.59
09/01/1965,1249.72
10/01/1965,1210.11
11/01/1965,1268.0
12/01/1965,1377.67
01/04/1966,1430.13
02/01/1966,1485.24
03/01/1966,1520.71
04/01/1966,1588.73
05/02/1966,1565.55
06/01/1966,1490.85
07/01/1966,1509.16
08/01/1966,1495.88
09/01/1966,1472.86
10/03/1966,1469.24
11/01/1966,1431.92
12/01/1966,1392.07
01/04/1967,1441.35
02/01/1967,1463.64
03/01/1967,1506.27
04/03/1967,1439.12
05/01/1967,1441.12
06/01/1967,1502.78
07/03/1967,1494.44
08/01/1967,1461.73
09/01/1967,1352.54
10/02/1967,1312.28
11/01/1967,1378.07
