"Date","Value"
"12/31/1927",17.66
"01/31/1928",17.57
"02/29/1928",17.26
"03/31/1928",19.28
"04/30/1928",19.75
"05/31/1928",20
"06/30/1928",19.14
"07/31/1928",19.43
"08/31/1928",20.87
"09/29/1928",21.14
"10/31/1928",21.68
"11/30/1928",24.28
"12/31/1928",24.35
"01/31/1929",25.74
"02/28/1929",25.59
"03/28/1929",25.53
"04/30/1929",25.94
"05/31/1929",24.83
"06/29/1929",27.41
"07/31/1929",28.88
"08/30/1929",31.71
"09/30/1929",30.16
"10/31/1929",24.15
"11/27/1929",20.92
"12/31/1929",21.45
"01/31/1930",22.79
"02/28/1930",23.28
"03/31/1930",24.15
"04/30/1930",24.9
"05/29/1930",24.49
"06/30/1930",20.46
"07/31/1930",21.21
"08/29/1930",21.37
"09/30/1930",18.59
"10/31/1930",16.94
"11/29/1930",16.57
"12/31/1930",15.34
"01/31/1931",16.09
"02/28/1931",17.93
"03/31/1931",16.69
"04/30/1931",15.09
"05/29/1931",13.02
"06/30/1931",14.83
"07/31/1931",13.73
"08/31/1931",13.86
"09/30/1931",9.71
"10/31/1931",10.53
"11/30/1931",9.5
"12/31/1931",8.12
"01/30/1932",7.89
"02/29/1932",8.29
"03/31/1932",7.31
"04/30/1932",5.83
"05/31/1932",4.47
"06/30/1932",4.43
"07/30/1932",6.1
"08/31/1932",8.39
"09/30/1932",8.08
"10/31/1932",6.96
"11/30/1932",6.55
"12/31/1932",6.89
"01/31/1933",6.94
"02/28/1933",5.66
"03/31/1933",5.85
"04/29/1933",8.32
"05/31/1933",9.64
"06/30/1933",10.91
"07/31/1933",9.95
"08/31/1933",11.09
"09/30/1933",9.83
"10/31/1933",8.96
"11/29/1933",9.88
"12/30/1933",10.1
"01/31/1934",11.17
"02/28/1934",10.76
"03/31/1934",10.75
"04/30/1934",10.46
"05/31/1934",9.61
"06/30/1934",9.81
"07/31/1934",8.68
"08/31/1934",9.15
"09/29/1934",9.1
"10/31/1934",8.81
"11/30/1934",9.54
"12/31/1934",9.5
"01/31/1935",9.1
"02/28/1935",8.74
"03/30/1935",8.47
"04/30/1935",9.28
"05/31/1935",9.58
"06/29/1935",10.23
"07/31/1935",11.08
"08/31/1935",11.32
"09/30/1935",11.59
"10/31/1935",12.46
"11/30/1935",12.95
"12/31/1935",13.43
"01/31/1936",14.31
"02/29/1936",14.55
"03/31/1936",14.92
"04/30/1936",13.77
