Date,Value
12/19/1990,99.98
01/02/1991,128.84
02/01/1991,129.51
03/01/1991,132.53
04/01/1991,120.73
05/02/1991,113.16
06/03/1991,115.97
07/01/1991,136.85
08/01/1991,145.24
09/02/1991,180.22
10/03/1991,182.48
11/01/1991,220.72
12/02/1991,262.19
01/02/1992,293.75
02/03/1992,314.18
03/02/1992,365.39
04/01/1992,381.01
05/04/1992,453.62
06/01/1992,1183.24
07/01/1992,1194.18
08/03/1992,1031.55
09/01/1992,824.96
10/01/1992,702.32
11/02/1992,477.61
12/01/1992,716.74
01/04/1993,814.04
02/01/1993,1278.5
03/01/1993,1199.73
04/01/1993,947.23
05/03/1993,1352.24
06/01/1993,928.58
07/01/1993,997.53
08/02/1993,843.27
09/01/1993,893.97
10/01/1993,890.27
11/01/1993,816.71
12/01/1993,974.8
01/03/1994,833.9
02/01/1994,755.15
03/01/1994,757.29
04/01/1994,698.84
05/02/1994,592.56
06/01/1994,545.05
07/01/1994,458.37
08/01/1994,445.64
09/01/1994,790.19
10/03/1994,790.48
11/01/1994,673.79
12/01/1994,682.3
01/02/1995,647.86
02/01/1995,562.58
03/01/1995,556.96
04/03/1995,656.88
05/01/1995,579.93
06/01/1995,708.67
07/03/1995,613.18
08/01/1995,715.4
09/01/1995,728.84
10/02/1995,722.427
11/01/1995,723.39
12/01/1995,633.81
01/01/1996,555.28
02/01/1996,536.68
03/01/1996,552.93
04/01/1996,566.19
05/01/1996,681.16
06/03/1996,641.09
07/01/1996,761.12
08/01/1996,835.11
09/02/1996,804.78
10/01/1996,854.66
11/01/1996,930.79
12/02/1996,1134.52
01/01/1997,917.01
02/03/1997,960.51
03/03/1997,1063.05
04/01/1997,1241.03
05/01/1997,1393.74
06/02/1997,1336.28
07/01/1997,1250.27
08/01/1997,1192.83
09/01/1997,1229.87
10/01/1997,1084.07
11/03/1997,1180.85
12/01/1997,1133.09
01/01/1998,1194.1
02/02/1998,1204.43
03/02/1998,1188.31
04/01/1998,1254.97
05/01/1998,1343.45
06/01/1998,1415.58
07/01/1998,1316.44
08/03/1998,1302.1
09/01/1998,1143.13
10/01/1998,1242.9
11/02/1998,1223.48
12/01/1998,1234.36
01/01/1999,1146.7
02/01/1999,1120.53
03/01/1999,1097.97
04/01/1999,1168.5
05/03/1999,1158.05
06/01/1999,1311.59
07/01/1999,1560.79
08/02/1999,1616.28
09/01/1999,1599.55
10/01/1999,1570.7
11/01/1999,1493.1
12/01/1999,1447.12
01/03/2000,1366.58
02/01/2000,1535.0
03/01/2000,1697.74
04/03/2000,1801.0
05/01/2000,1836.32
06/01/2000,1903.49
07/03/2000,1895.64
08/01/2000,2028.15
09/01/2000,1999.86
10/02/2000,1910.16
11/01/2000,1977.36
12/01/2000,2081.84
01/01/2001,2073.48
02/01/2001,2065.61
03/01/2001,1965.12
04/02/2001,2125.08
05/01/2001,2119.18
06/01/2001,2219.59
07/02/2001,2205.99
08/01/2001,1986.93
09/03/2001,1817.19
10/01/2001,1764.87
11/01/2001,1707.75
12/03/2001,1762.56
01/01/2002,1645.97
02/01/2002,1485.77
03/01/2002,1502.54
04/01/2002,1608.51
05/01/2002,1667.75
06/03/2002,1483.35
07/01/2002,1713.7
08/01/2002,1653.01
09/02/2002,1668.77
10/01/2002,1581.62
11/01/2002,1510.76
12/02/2002,1395.68
01/01/2003,1357.65
02/03/2003,1499.81
03/03/2003,1525.48
04/01/2003,1522.55
05/01/2003,1521.44
06/02/2003,1576.53
07/01/2003,1484.7
08/01/2003,1476.97
09/01/2003,1449.82
10/01/2003,1367.16
11/03/2003,1364.06
12/01/2003,1432.7
01/01/2004,1497.04
02/02/2004,1623.88
03/01/2004,1689.76
04/01/2004,1758.15
05/03/2004,1595.59
06/01/2004,1579.66
07/01/2004,1441.07
08/02/2004,1373.22
09/01/2004,1321.46
10/01/2004,1396.7
11/01/2004,1305.29
12/01/2004,1334.94
01/03/2005,1266.5
02/01/2005,1188.93
03/01/2005,1303.41
04/01/2005,1223.57
05/02/2005,1159.15
06/01/2005,1039.19
07/01/2005,1055.59
08/01/2005,1088.95
09/01/2005,1184.93
10/03/2005,1155.61
11/01/2005,1089.95
12/01/2005,1098.75
01/02/2006,1161.06
02/01/2006,1258.05
03/01/2006,1306.59
04/03/2006,1319.47
05/01/2006,1440.22
06/01/2006,1684.19
07/03/2006,1697.28
08/01/2006,1600.61
09/01/2006,1636.69
10/02/2006,1752.42
11/01/2006,1855.71
12/01/2006,2102.05
01/04/2007,2715.72
02/01/2007,2785.43
03/01/2007,2797.19
04/02/2007,3252.59
05/08/2007,3950.01
06/01/2007,4000.74
07/02/2007,3836.29
08/01/2007,4300.56
09/03/2007,5321.06
10/08/2007,5692.75
11/01/2007,5914.29
12/03/2007,4868.61
01/02/2008,5272.81
02/01/2008,4320.77
03/03/2008,4438.27
04/01/2008,3329.16
05/05/2008,3761.01
06/02/2008,3459.04
07/01/2008,2651.6
08/01/2008,2801.82
09/01/2008,2325.14
10/01/2008,2293.78
11/03/2008,1719.77
12/01/2008,1894.61
01/05/2009,1880.72
02/02/2009,2011.68
03/02/2009,2093.45
04/01/2009,2408.02
05/01/2009,2477.57
06/01/2009,2721.28
07/01/2009,3008.15
08/03/2009,3462.59
09/01/2009,2683.72
10/01/2009,2779.43
11/02/2009,3076.65
12/01/2009,3235.36
01/04/2010,3243.76
02/01/2010,2941.36
03/01/2010,3087.84
04/01/2010,3147.42
05/03/2010,2870.61
06/01/2010,2568.28
07/01/2010,2373.79
08/02/2010,2672.52
09/01/2010,2622.88
10/01/2010,2655.66
11/01/2010,3054.02
12/01/2010,2823.45
01/03/2011,2808.08
02/01/2011,2798.96
03/01/2011,2918.92
04/01/2011,2967.41
05/03/2011,2932.19
06/01/2011,2743.57
07/01/2011,2759.36
08/01/2011,2703.78
09/01/2011,2556.04
10/10/2011,2344.79
11/01/2011,2470.02
12/01/2011,2386.86
01/04/2012,2169.39
02/01/2012,2268.08
03/01/2012,2426.11
04/05/2012,2302.24
05/02/2012,2438.44
06/01/2012,2373.44
07/02/2012,2226.11
08/01/2012,2123.36
09/03/2012,2059.15
10/08/2012,2074.42
11/01/2012,2104.43
12/03/2012,1959.77
01/04/2013,2276.99
02/01/2013,2419.02
03/01/2013,2359.51
04/01/2013,2234.4
05/02/2013,2174.12
06/03/2013,2299.25
07/01/2013,1995.24
08/01/2013,2029.07
09/02/2013,2098.45
10/08/2013,2198.2
11/01/2013,2149.56
12/02/2013,2207.37
01/02/2014,2109.39
02/07/2014,2044.5
03/03/2014,2075.24
04/01/2014,2047.46
05/05/2014,2027.35
06/03/2014,2038.31
07/01/2014,2050.38
08/01/2014,2185.3
09/01/2014,2235.51
10/08/2014,2382.79
11/03/2014,2430.03
12/01/2014,2680.16
01/05/2015,3350.52
02/02/2015,3128.3
03/02/2015,3336.28
04/01/2015,3810.29
05/04/2015,4480.46
06/01/2015,4828.74
07/01/2015,4053.7
08/03/2015,3622.91
09/01/2015,3166.62
10/12/2015,3287.66
11/02/2015,3325.08
12/01/2015,3456.31
01/04/2016,3296.26
02/01/2016,2688.85
03/01/2016,2733.17
04/01/2016,3009.53
05/03/2016,2992.64
06/01/2016,2913.51
07/01/2016,2932.48
08/01/2016,2953.39
09/01/2016,3063.31
10/10/2016,3048.14
11/01/2016,3122.44
12/01/2016,3273.31
01/03/2017,3135.921
