Date,Value
2010-06-29,18783770
2010-07-01,8229870
2010-08-02,719166
2010-09-01,495671
2010-10-01,599054
2010-11-01,455772
2010-12-01,1299176
2011-01-03,1284114
2011-02-01,707792
2011-03-01,1106351
2011-04-01,2865025
2011-05-02,784561
2011-06-01,1530365
2011-07-01,854857
2011-08-01,1164823
2011-09-01,848086
2011-10-03,1023131
2011-11-01,635762
2011-12-01,1030090
2012-01-03,928053
2012-02-01,523170
2012-03-01,703436
2012-04-02,1028522
2012-05-01,658948
2012-06-01,885730
2012-07-02,1315561
2012-08-01,1592219
2012-09-04,752497
2012-10-01,884306
2012-11-01,1024055
2012-12-03,2085755
2013-01-02,1194691
2013-02-01,1100574
2013-03-01,1546602
2013-04-01,14106076
2013-05-01,2742781
2013-06-03,19143626
2013-07-01,10903584
2013-08-01,5323627
2013-09-03,12061156
2013-10-01,7761461
2013-11-01,7180577
2013-12-02,7751219
2014-01-02,6195386
2014-02-03,6778602
2014-03-03,13109330
2014-04-01,7371449
2014-05-01,5444691
2014-06-02,4668133
2014-07-01,4341241
2014-08-01,11898126
2014-09-02,9852352
2014-10-01,5946525
2014-11-03,4207283
2014-12-01,8619382
2015-01-02,4764460
2015-02-02,4149202
2015-03-02,7922083
2015-04-01,3794631
2015-05-01,5281707
2015-06-01,2505063
2015-07-01,2101224
2015-08-03,2553471
2015-09-01,5454784
2015-10-01,4572974
2015-11-02,3927959
2015-12-01,3733968
2016-01-04,6827162
2016-02-01,5297635
2016-03-01,6712155
2016-04-01,15997507
2016-05-02,3843944
2016-06-01,2982694
2016-07-01,5399949
2016-08-01,4016293
2016-09-01,7943170
2016-10-03,5999915
2016-11-01,7060032
2016-12-01,5126397
2017-01-03,5923268
2017-02-01,3958838
2017-03-01,4809499
2017-04-03,13888619
2017-05-01,8829582
2017-06-01,7607997
2017-07-03,6305412
2017-08-01,8303095
2017-09-01,3049547
2017-10-02,5286770
2017-11-01,8457338
2017-12-01,4292868
2018-01-02,4352254
2018-02-01,4197691
2018-03-01,6885613
2018-04-02,16114005
2018-05-01,4625598
2018-06-01,5424380
2018-07-02,18759806
2018-08-01,10129450
2018-09-04,8350468
2018-10-01,21777603
2018-11-01,8000146
2018-12-03,8306519
2019-01-02,11658638
2019-02-01,7283453
2019-03-01,22911354
2019-04-01,8110431
2019-05-01,10704386
2019-06-03,13064401
2019-07-01,8237994
2019-08-01,8259535
2019-09-03,5360565
2019-10-01,6196281
2019-11-01,6383928
2019-12-02,6081980
2020-01-02,9558401
2020-02-03,47233508
2020-03-02,20195003
2020-04-01,13353201
2020-05-01,32531828
2020-06-01,15085326
2020-07-01,13326912
2020-08-03,8809354
2020-09-01,90119497
2020-10-01,50741498
2020-11-02,29021149
2020-12-01,40382874
2021-01-04,48638246
2021-02-01,25391417
2021-03-01,27136267
2021-04-01,35298416
2021-05-03,27043171
2021-06-01,18084907
2021-07-01,18634539
2021-08-02,33615800
2021-09-01,13204352
2021-10-01,17031428
2021-11-01,56048777
2021-12-01,22934719
2022-01-03,34895385
2022-02-01,24379472
2022-03-01,24922316
2022-04-01,18087757
2022-05-02,25260481
2022-06-01,25749343
2022-07-01,24820176
2022-08-01,39014346
2022-09-01,54287020
2022-10-03,98363539
2022-11-01,62688820
2022-12-01,80046211
2023-01-03,231402797
2023-02-01,213806297
2023-03-01,156852797
2023-04-03,169545906
2023-05-01,109015000
2023-06-01,148029906
2023-07-03,118999000
2023-08-01,83645719
2023-09-01,132541594
2023-10-02,123810398
2023-11-01,121661695
2023-12-01,121331695
2024-01-02,104654203
2024-02-01,91843281
2024-03-01,82243117
2024-04-01,81562125
2024-05-01,92829719
2024-06-03,68568922
2024-07-01,135691391
2024-08-01,83861906
2024-09-03,76551800
2024-10-01,87397609
2024-11-01,57544762
2024-12-02,77986477
2025-01-02,109710703
2025-02-03,93732117
2025-03-03,115551398
2025-04-01,146486891
2025-05-01,99658969
2025-06-02,81873828
2025-07-01,145085700
2025-08-01,89121445
2025-09-02,58391953
2025-10-01,98122289
2025-11-03,84595242
