rate,Share
-55.5068889734531,0.0001
-51.72138050596984,0.0001
-47.93587203848658,0.0002
-44.150363571003325,0.0016
-40.36485510352007,0.0016
-36.5793466360368,0.0036
-32.79383816855355,0.0058
-29.008329701070288,0.0103
-25.22282123358703,0.0152
-21.437312766103773,0.0238
-17.651804298620515,0.0314
-13.866295831137254,0.0458
-10.080787363653997,0.0596
-6.295278896170739,0.0665
-2.5097704286874816,0.0681
1.275738038795776,0.0823
5.0612465062790335,0.0845
8.846754973762295,0.0781
12.632263441245556,0.0763
16.41777190872881,0.0716
20.20328037621207,0.0578
23.988788843695332,0.0494
27.774297311178586,0.0393
31.559805778661847,0.0304
35.34531424614511,0.0238
39.13082271362836,0.0201
42.916331181111616,0.0146
46.70183964859488,0.0112
50.48734811607814,0.0073
54.27285658356139,0.0059
58.05836505104465,0.0033
61.843873518527914,0.003
65.62938198601117,0.0017
69.41489045349442,0.0013
73.20039892097768,0.001
76.98590738846094,0.0012
80.77141585594421,0.0006
84.55692432342747,0.0006
92.12794125839397,0.0004
95.91344972587723,0.0003
99.6989581933605,0.0001
118.62650053077678,0.0001
129.98302593322657,0.0001
