rate,Share
-53.99797577580779,0.0002
-50.021056651253645,0.0003
-46.044137526699515,0.0018
-42.06721840214537,0.0018
-38.09029927759123,0.0051
-34.1133801530371,0.0075
-30.136461028482955,0.0091
-26.15954190392882,0.0159
-22.182622779374682,0.0242
-18.205703654820542,0.0361
-14.228784530266406,0.0436
-10.25186540571227,0.052
-6.274946281158133,0.0676
-2.298027156603993,0.0766
1.6788919679501468,0.0863
5.655811092504283,0.0854
9.63273021705842,0.0839
13.60964934161256,0.0743
17.586568466166696,0.0682
21.563487590720833,0.0623
25.54040671527497,0.043
29.517325839829105,0.0354
33.49424496438325,0.0329
37.471164088937385,0.0237
41.44808321349152,0.0155
45.42500233804566,0.012
49.401921462599795,0.0077
53.37884058715394,0.0062
57.355759711708075,0.0055
61.33267883626221,0.0035
65.30959796081635,0.0022
69.28651708537048,0.0027
73.26343620992462,0.0018
77.24035533447876,0.0011
81.21727445903291,0.0011
85.19419358358705,0.0007
89.17111270814118,0.0005
93.14803183269531,0.0006
97.12495095724945,0.0006
101.1018700818036,0.0003
105.07878920635774,0.0001
109.05570833091187,0.0002
117.00954658002014,0.0002
120.98646570457429,0.0001
128.94030395368256,0.0001
140.871061327345,0.0001
